TOP_N,DEPENDENCY_FACTOR_0.8,METHOD_KNOWN,WITHOUT_SLICING,WTIHOUT_TREE,WITHOUT_METHODSCORE,WITHOUT_DEPENDENCY,DEPENDENCY_FACTOR_0.6,DEPENDENCY_FACTOR_0.4,DEPENDENCY_FACTOR_0.2
compress_top1,0.111111111,0.222222222,0.222222222,0.222222222,0.111111111,0,0.111111111,0.111111111,0.111111111
compress_top3,0.111111111,0.444444444,0.222222222,0.222222222,0.111111111,0.111111111,0.111111111,0.222222222,0.222222222
compress_top5,0.222222222,0.555555556,0.333333333,0.333333333,0.222222222,0.444444444,0.222222222,0.222222222,0.222222222
compress_top10,0.444444444,0.777777778,0.555555556,0.444444444,0.333333333,0.444444444,0.333333333,0.444444444,0.444444444
compress_MAR,14.85714286,4.857142857,27.40625,25.75,16.14285714,15.38095238,16.92857143,14.78571429,14.85714286
compress_MFR,11.5,3.142857143,24.125,18.875,12.14285714,10.64285714,13,11.35714286,11.35714286
compress_ExamScore,0.537992256,0.632451499,0.427233015,0.451554133,0.618031025,0.56693601,0.590006998,0.546526994,0.54412045
gson_top1,0.428571429,0.428571429,0.571428571,0.142857143,0.142857143,0.428571429,0.428571429,0.428571429,0.428571429
gson_top3,0.571428571,0.714285714,0.714285714,0.285714286,0.285714286,0.571428571,0.571428571,0.571428571,0.428571429
gson_top5,0.571428571,0.714285714,0.714285714,0.285714286,0.428571429,0.571428571,0.571428571,0.571428571,0.571428571
gson_top10,0.571428571,0.714285714,0.714285714,0.571428571,0.714285714,0.714285714,0.571428571,0.571428571,0.714285714
gson_MAR,7.236111111,2.616666667,16.34722222,25.26190476,11.29166667,7.130952381,7.680555556,7.569444444,8.958333333
gson_MFR,6,1.8,13.33333333,23.14285714,9.833333333,5.928571429,6.333333333,6.166666667,7.5
gson_ExamScore,0.396258503,0.563690476,0.281483732,0.424384239,0.484013605,0.321768707,0.403617811,0.388515244,0.435749171
codec_top1,0.2,0.3,0,0.1,0.1,0.1,0.2,0.2,0.3
codec_top3,0.3,0.5,0.1,0.3,0.2,0.3,0.3,0.3,0.3
codec_top5,0.4,0.7,0.3,0.3,0.4,0.4,0.4,0.4,0.4
codec_top10,0.5,0.8,0.5,0.4,0.7,0.5,0.5,0.5,0.4
codec_MAR,22.81666667,6.518518519,33.49583333,28.4875,19.78333333,19.0875,22.95,21.06666667,19.23333333
codec_MFR,17.35,4.166666667,26.5,24.6,13.55,14.1,17.25,15.85,15.65
codec_ExamScore,0.307344499,0.388437844,0.245586428,0.36924232,0.243010593,0.281958854,0.319260158,0.315093202,0.334605122
csv_top1,0.2,0.4,0.2,0,0.4,0.2,0.2,0.2,0.2
csv_top3,0.4,0.4,0.2,0.2,0.4,0.2,0.4,0.4,0.2
csv_top5,0.4,0.4,0.2,0.2,0.4,0.2,0.4,0.4,0.4
csv_top10,0.4,0.4,0.4,0.2,0.4,0.2,0.4,0.4,0.4
csv_MAR,8.25,3.625,20.75,31.08333333,17.25,12.58333333,14.75,14.75,15.75
csv_MFR,2,1,16.125,10,1,10.25,2,2,2.5
csv_ExamScore,0.614285714,0.621445221,0.386805645,0.650115075,0.607936508,0.680952381,0.616977929,0.621099291,0.62769556
lang_top1,0.260869565,0.260869565,0.217391304,0.130434783,0.130434783,0.130434783,0.260869565,0.304347826,0.304347826
lang_top3,0.347826087,0.47826087,0.434782609,0.304347826,0.304347826,0.347826087,0.391304348,0.391304348,0.434782609
lang_top5,0.47826087,0.565217391,0.47826087,0.391304348,0.304347826,0.47826087,0.565217391,0.565217391,0.565217391
lang_top10,0.695652174,0.695652174,0.782608696,0.608695652,0.47826087,0.52173913,0.695652174,0.652173913,0.608695652
lang_MAR,9.586111111,4.390625,11.95652174,14.89652778,11.51111111,11.30092593,9.166666667,9.111111111,8.777777778
lang_MFR,6.138888889,3.03125,7.456521739,9.175,7.861111111,6.083333333,6.083333333,5.944444444,5.888888889
lang_ExamScore,0.415163049,0.615338647,0.268194146,0.376303222,0.472466144,0.485786809,0.419639144,0.437184747,0.455799868
jacksonxml_top1,0.25,0.25,0.25,0,0,0.5,0.25,0.25,0.5
jacksonxml_top3,0.25,0.5,0.5,0.25,0,0.5,0.25,0.5,0.5
jacksonxml_top5,0.5,0.75,0.5,0.25,0.25,0.75,0.5,0.5,0.5
jacksonxml_top10,0.75,0.75,0.5,0.25,0.75,0.75,0.75,0.75,0.5
jacksonxml_MAR,4.333333333,2.333333333,27.88888889,25.75,6,2.333333333,4.333333333,3.666666667,1
jacksonxml_MFR,4.333333333,2.333333333,13.83333333,25.75,6,2.333333333,4.333333333,3.666666667,1
jacksonxml_ExamScore,0.302420191,0.611428571,0.360214956,0.322046407,0.337667133,0.278736857,0.305869176,0.303104708,0.512781497
chart_top1,0.25,0.5,0.333333333,0.166666667,0.166666667,0,0.25,0.25,0.25
chart_top3,0.583333333,0.833333333,0.583333333,0.333333333,0.416666667,0.333333333,0.583333333,0.583333333,0.5
chart_top5,0.666666667,0.916666667,0.75,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,0.5
chart_top10,0.833333333,0.916666667,0.75,0.666666667,0.666666667,0.833333333,0.833333333,0.833333333,0.666666667
chart_MAR,6.53030303,3.196969697,11.28472222,18.51893939,9.848484848,7.363636364,7.136363636,7.431818182,6.908333333
chart_MFR,4.409090909,1.681818182,7.125,15,6.5,5.590909091,4.409090909,4.590909091,5.35
chart_ExamScore,0.297182591,0.538032107,0.214564519,0.358839488,0.337365816,0.397946004,0.307034567,0.329765831,0.475641197
jacksoncore_top1,0.0625,0.3125,0,0.0625,0,0.0625,0.0625,0.0625,0.0625
jacksoncore_top3,0.1875,0.5625,0.0625,0.1875,0,0.25,0.25,0.1875,0.1875
jacksoncore_top5,0.4375,0.625,0.3125,0.25,0.1875,0.375,0.4375,0.4375,0.375
jacksoncore_top10,0.5625,0.6875,0.4375,0.25,0.5,0.5,0.5625,0.5625,0.5625
jacksoncore_MAR,16.6875,9.5625,26.26923077,24.97222222,18.875,16.70833333,17.25,14.91666667,15.25
jacksoncore_MFR,12.58333333,7.666666667,20.42307692,21.875,14.625,13.75,14.83333333,12.66666667,13.16666667
jacksoncore_ExamScore,0.500585084,0.66012373,0.440309666,0.551147087,0.616452125,0.530395397,0.524401588,0.499902669,0.514954303
